Date (UT),Time (yr),Freq (GHz),Flux (mJy),FluxErr (mJy),Lum (10^25 erg/s/Hz),LumErr,Instrument,Reference
14-Mar-1983,3.915,5.0,5.9,0.31,,,VLA,Weiler et al. (1986)
Mar-1983 (~),3.918,0.612,4.5,1.0,,,VLA,Weiler et al. (1986) (49 cm measurement)
03-Apr-1983,3.97,1.5,11.2,1.4,,,VLA,Weiler et al. (1986)
03-Apr-1983,3.97,5.0,5.5,0.22,,,VLA,Weiler et al. (1986)
04-May-1983,4.055,1.5,13.2,1.2,,,VLA,Weiler et al. (1986)
04-May-1983,4.055,5.0,5.6,0.23,,,VLA,Weiler et al. (1986)
26-May-1983,4.115,15.0,2.8,0.4,,,VLA,Weiler et al. (1986)
20-Jun-1983,4.183,1.5,11.1,0.81,,,VLA,Weiler et al. (1986)
20-Jun-1983,4.183,5.0,5.4,0.58,,,VLA,Weiler et al. (1986)
16-Jul-1983,4.255,5.0,5.4,0.47,,,VLA,Weiler et al. (1986)
11-Aug-1983,4.326,1.5,9.1,0.39,,,VLA,Weiler et al. (1986)
11-Aug-1983,4.326,5.0,4.6,0.25,,,VLA,Weiler et al. (1986)
15-Sep-1983,4.422,1.5,8.5,0.37,,,VLA,Weiler et al. (1986)
15-Sep-1983,4.422,5.0,3.6,0.18,,,VLA,Weiler et al. (1986)
19-Oct-1983,4.515,1.5,9.1,0.39,,,VLA,Weiler et al. (1986)
19-Oct-1983,4.515,5.0,4.9,0.19,,,VLA,Weiler et al. (1986)
13-Nov-1983,4.583,1.5,8.8,0.38,,,VLA,Weiler et al. (1986)
13-Nov-1983,4.583,5.0,4.1,0.17,,,VLA,Weiler et al. (1986)
22-Dec-1983,4.69,1.5,10.1,0.48,,,VLA,Weiler et al. (1986)
22-Dec-1983,4.69,5.0,4.6,0.18,,,VLA,Weiler et al. (1986)
07-Jan-1984,4.734,1.5,9.7,0.41,,,VLA,Weiler et al. (1986)
07-Jan-1984,4.734,5.0,4.6,0.25,,,VLA,Weiler et al. (1986)
12-Feb-1984,4.832,1.5,9.1,0.4,,,VLA,Weiler et al. (1986)
12-Feb-1984,4.832,5.0,4.1,0.16,,,VLA,Weiler et al. (1986)
12-Feb-1984,4.832,15.0,1.8,0.27,,,VLA,Weiler et al. (1986)
05-Mar-1984,4.89,1.5,8.9,0.6,,,VLA,Weiler et al. (1986)
05-Mar-1984,4.89,5.0,4.0,0.17,,,VLA,Weiler et al. (1986)
13-May-1984,5.079,5.0,3.8,0.2,,,VLA,Weiler et al. (1986)
12-Aug-1984,5.328,1.5,7.0,0.75,,,VLA,Weiler et al. (1986)
12-Aug-1984,5.328,5.0,3.4,0.18,,,VLA,Weiler et al. (1986)
16-Nov-1984,5.591,1.5,7.7,0.31,,,VLA,Weiler et al. (1986)
16-Nov-1984,5.591,5.0,3.3,0.14,,,VLA,Weiler et al. (1986)
18-Mar-1985,5.955,1.5,8.4,0.53,,,VLA,Weiler et al. (1991)
18-Mar-1985,5.955,5.0,3.61,0.21,,,VLA,Weiler et al. (1991)
28-Jun-1985,6.234,1.5,7.34,0.71,,,VLA,Weiler et al. (1991)
28-Jun-1985,6.234,5.0,3.49,0.22,,,VLA,Weiler et al. (1991)
22-Aug-1985,6.385,1.5,5.64,0.67,,,VLA,Weiler et al. (1991)
22-Aug-1985,6.385,5.0,3.6,0.23,,,VLA,Weiler et al. (1991)
14-Dec-1985,6.697,1.5,8.58,0.96,,,VLA,Weiler et al. (1991)
14-Dec-1985,6.697,5.0,3.0,0.19,,,VLA,Weiler et al. (1991)
28-Mar-1986,6.982,1.5,7.18,0.39,,,VLA,Weiler et al. (1991)
28-Mar-1986,6.982,5.0,3.67,0.2,,,VLA,Weiler et al. (1991)
16-Jun-1986,7.201,1.5,6.3,0.48,,,VLA,Weiler et al. (1991)
16-Jun-1986,7.201,5.0,3.95,0.24,,,VLA,Weiler et al. (1991)
25-Sep-1986,7.477,1.5,7.58,0.63,,,VLA,Weiler et al. (1991)
25-Sep-1986,7.477,5.0,3.4,0.19,,,VLA,Weiler et al. (1991)
15-Dec-1986,7.699,1.5,7.39,0.77,,,VLA,Weiler et al. (1991)
15-Dec-1986,7.699,5.0,3.19,0.19,,,VLA,Weiler et al. (1991)
05-Mar-1987,7.918,5.0,2.77,0.17,,,VLA,Weiler et al. (1991)
05-Mar-1987,7.918,15.0,1.11,0.16,,,VLA,Weiler et al. (1991)
24-Jun-1987,8.222,1.5,6.93,0.41,,,VLA,Weiler et al. (1991)
24-Jun-1987,8.222,5.0,3.58,0.22,,,VLA,Weiler et al. (1991)
18-Sep-1987,8.457,1.5,6.12,0.35,,,VLA,Weiler et al. (1991)
18-Sep-1987,8.457,5.0,2.5,0.16,,,VLA,Weiler et al. (1991)
20-Dec-1987,8.712,1.5,5.34,0.37,,,VLA,Weiler et al. (1991)
20-Dec-1987,8.712,5.0,2.9,0.17,,,VLA,Weiler et al. (1991)
31-Mar-1988,8.991,1.5,5.55,0.7,,,VLA,Weiler et al. (1991)
31-Mar-1988,8.991,5.0,2.7,0.16,,,VLA,Weiler et al. (1991)
16-Sep-1988,9.454,5.0,2.19,0.16,,,VLA,Weiler et al. (1991)
16-Sep-1988,9.454,15.0,0.66,0.35,,,VLA,Weiler et al. (1991)
29-Dec-1988,9.739,1.5,5.26,0.31,,,VLA,Weiler et al. (1991)
29-Dec-1988,9.739,5.0,2.13,0.14,,,VLA,Weiler et al. (1991)
06-Apr-1989,10.007,1.5,4.73,0.44,,,VLA,Weiler et al. (1991)
06-Apr-1989,10.007,5.0,2.61,0.15,,,VLA,Weiler et al. (1991)
17-Jul-1989,10.286,1.5,3.96,0.36,,,VLA,Weiler et al. (1991)
17-Jul-1989,10.286,5.0,1.83,0.12,,,VLA,Weiler et al. (1991)
21-Dec-1989,10.716,5.0,2.24,0.15,,,VLA,Weiler et al. (1991)
