phase (days),age (days),component,nu_p (GHz),p,tau_5GHz,Mdot (Msun/yr)
1300.0,1300.0,Component 1,6.349322904940138,3.24,1.6515455688155607,0.0006026268549452621
1300.0,1300.0,Component 2,16.58741421383587,3.24,12.40789870924166,0.001651780445740888
1700.0,1700.0,Component 1,3.9098306549590776,3.24,0.5966157036940907,0.0005416377116028474
1700.0,1700.0,Component 2,16.505630103965093,3.24,12.279775247797286,0.002457291981193298
2100.0,2100.0,Component 2,4.246335227172541,3.24,0.7095662848150562,0.0008109864541045914
2100.0,2100.0,Component 3,21.079498692404968,3.24,20.52435772450351,0.0043616609408993175
2500.0,2500.0,Component 2,3.4572053487096626,3.24,0.4607717674298306,0.0008488698639345531
2500.0,2500.0,Component 3,11.494596273404769,3.24,5.74380658579836,0.0029970782979299
2650.0,2650.0,Component 2,2.3569606093547537,3.24,0.2061118076780573,0.0006195957345660757
2650.0,2650.0,Component 3,10.597339862793932,3.24,4.842575521718746,0.00300327557726224
